time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-12 00:00:00+00:00,299,99,85,31
2022-08-13 00:00:00+00:00,298,89,12,8
2022-08-14 00:00:00+00:00,260,82,5,5
2022-08-15 00:00:00+00:00,314,100,84,27
2022-08-16 00:00:00+00:00,319,108,40,16
2022-08-17 00:00:00+00:00,301,113,71,26
2022-08-18 00:00:00+00:00,318,114,68,40
2022-08-19 00:00:00+00:00,252,100,38,26
2022-08-20 00:00:00+00:00,209,74,11,6
2022-08-21 00:00:00+00:00,211,74,9,9
2022-08-22 00:00:00+00:00,184,82,62,29
2022-08-23 00:00:00+00:00,163,66,58,27
2022-08-24 00:00:00+00:00,216,91,141,32
2022-08-25 00:00:00+00:00,218,75,109,26
