time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,411,76,147,40
2021-10-27 00:00:00+00:00,803,115,373,80
2021-10-28 00:00:00+00:00,424,109,182,67
2021-10-29 00:00:00+00:00,549,99,137,58
2021-10-30 00:00:00+00:00,238,87,60,26
2021-10-31 00:00:00+00:00,228,78,61,21
2021-11-01 00:00:00+00:00,515,111,124,56
2021-11-02 00:00:00+00:00,454,111,202,73
2021-11-03 00:00:00+00:00,451,118,103,58
2021-11-04 00:00:00+00:00,524,108,162,73
2021-11-05 00:00:00+00:00,492,104,165,62
2021-11-06 00:00:00+00:00,309,86,49,27
2021-11-07 00:00:00+00:00,318,85,72,30
2021-11-08 00:00:00+00:00,522,156,118,65
2021-11-09 00:00:00+00:00,654,141,187,71
2021-11-10 00:00:00+00:00,552,137,175,78
2021-11-11 00:00:00+00:00,407,120,156,69
2021-11-12 00:00:00+00:00,410,115,124,50
2021-11-13 00:00:00+00:00,243,81,92,29
2021-11-14 00:00:00+00:00,225,70,79,24
2021-11-15 00:00:00+00:00,921,119,176,68
2021-11-16 00:00:00+00:00,571,121,207,81
2021-11-17 00:00:00+00:00,464,122,142,79
2021-11-18 00:00:00+00:00,416,114,150,68
2021-11-19 00:00:00+00:00,381,100,164,67
2021-11-20 00:00:00+00:00,200,78,103,35
2021-11-21 00:00:00+00:00,200,68,77,33
2021-11-22 00:00:00+00:00,424,121,160,77
2021-11-23 00:00:00+00:00,447,113,179,73
2021-11-24 00:00:00+00:00,638,185,142,73
2021-11-25 00:00:00+00:00,409,117,166,62
2021-11-26 00:00:00+00:00,348,106,122,60
2021-11-27 00:00:00+00:00,198,75,56,19
2021-11-28 00:00:00+00:00,236,81,45,21
2021-11-29 00:00:00+00:00,589,166,169,84
2021-11-30 00:00:00+00:00,632,150,190,72
2021-12-01 00:00:00+00:00,547,145,119,66
2021-12-02 00:00:00+00:00,535,143,180,72
2021-12-03 00:00:00+00:00,509,124,198,66
2021-12-04 00:00:00+00:00,309,95,94,32
2021-12-05 00:00:00+00:00,304,85,33,22
2021-12-06 00:00:00+00:00,566,144,165,79
2021-12-07 00:00:00+00:00,600,150,141,70
2021-12-08 00:00:00+00:00,649,148,191,75
2021-12-09 00:00:00+00:00,491,124,172,63
2021-12-10 00:00:00+00:00,491,111,165,65
2021-12-11 00:00:00+00:00,228,85,42,22
2021-12-12 00:00:00+00:00,259,79,62,17
2021-12-13 00:00:00+00:00,482,140,255,84
2021-12-14 00:00:00+00:00,418,130,167,71
2021-12-15 00:00:00+00:00,369,118,205,78
2021-12-16 00:00:00+00:00,486,108,125,68
2021-12-17 00:00:00+00:00,464,101,165,73
2021-12-18 00:00:00+00:00,204,79,71,30
2021-12-19 00:00:00+00:00,241,86,69,27
2021-12-20 00:00:00+00:00,573,137,136,72
2021-12-21 00:00:00+00:00,544,139,145,71
2021-12-22 00:00:00+00:00,518,140,120,55
2021-12-23 00:00:00+00:00,450,124,121,52
2021-12-24 00:00:00+00:00,357,106,106,53
2021-12-25 00:00:00+00:00,172,81,67,29
2021-12-26 00:00:00+00:00,201,83,45,25
2021-12-27 00:00:00+00:00,506,120,184,83
2021-12-28 00:00:00+00:00,558,135,147,73
2021-12-29 00:00:00+00:00,579,148,143,70
2021-12-30 00:00:00+00:00,526,107,103,44
2021-12-31 00:00:00+00:00,446,94,139,46
2022-01-01 00:00:00+00:00,312,88,46,26
2022-01-02 00:00:00+00:00,267,88,36,19
2022-01-03 00:00:00+00:00,509,89,75,37
2022-01-04 00:00:00+00:00,515,141,124,50
2022-01-05 00:00:00+00:00,496,127,154,62
2022-01-06 00:00:00+00:00,462,126,233,112
2022-01-07 00:00:00+00:00,464,114,147,67
2022-01-08 00:00:00+00:00,234,91,41,22
2022-01-09 00:00:00+00:00,235,92,70,38
2022-01-10 00:00:00+00:00,378,127,127,66
2022-01-11 00:00:00+00:00,308,109,184,80
2022-01-12 00:00:00+00:00,325,124,114,58
2022-01-13 00:00:00+00:00,490,137,206,85
2022-01-14 00:00:00+00:00,329,105,137,62
2022-01-15 00:00:00+00:00,233,84,38,25
2022-01-16 00:00:00+00:00,230,83,65,30
2022-01-17 00:00:00+00:00,295,115,139,68
2022-01-18 00:00:00+00:00,285,126,163,78
2022-01-19 00:00:00+00:00,314,135,202,84
2022-01-20 00:00:00+00:00,280,124,181,68
2022-01-21 00:00:00+00:00,363,118,143,62
2022-01-22 00:00:00+00:00,220,82,60,28
2022-01-23 00:00:00+00:00,225,88,54,31
2022-01-24 00:00:00+00:00,283,132,110,56
2022-01-25 00:00:00+00:00,303,127,136,59
2022-01-26 00:00:00+00:00,284,118,152,64
