time_iso8601,forks_cumulative
2020-08-07 00:00:00+00:00,1
2020-08-31 00:00:00+00:00,2
2020-09-11 00:00:00+00:00,3
2020-09-21 00:00:00+00:00,4
2020-10-19 00:00:00+00:00,5
2020-10-20 00:00:00+00:00,6
2020-10-23 00:00:00+00:00,7
2020-12-08 00:00:00+00:00,8
2020-12-27 00:00:00+00:00,9
2021-03-12 00:00:00+00:00,10
2021-03-18 00:00:00+00:00,11
2021-04-29 00:00:00+00:00,12
2021-06-20 00:00:00+00:00,13
2021-08-01 00:00:00+00:00,14
2021-08-20 00:00:00+00:00,15
2021-08-24 00:00:00+00:00,16
2021-11-15 00:00:00+00:00,17
2022-01-03 00:00:00+00:00,18
2022-01-11 00:00:00+00:00,19
2022-02-09 00:00:00+00:00,21
2022-03-04 00:00:00+00:00,22
2022-03-30 00:00:00+00:00,23
2022-03-31 00:00:00+00:00,24
2022-04-11 00:00:00+00:00,25
2022-04-26 00:00:00+00:00,26
2022-04-29 00:00:00+00:00,27
2022-06-01 00:00:00+00:00,28
2022-06-16 00:00:00+00:00,29
2022-07-10 00:00:00+00:00,30
2022-08-11 00:00:00+00:00,31
2022-08-16 00:00:00+00:00,32
2022-10-07 00:00:00+00:00,34
