time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,332,75,32,8
2021-10-27 00:00:00+00:00,437,125,39,12
2021-10-28 00:00:00+00:00,383,100,84,21
2021-10-29 00:00:00+00:00,290,90,38,16
2021-10-30 00:00:00+00:00,129,66,9,8
2021-10-31 00:00:00+00:00,151,53,10,9
2021-11-01 00:00:00+00:00,345,103,57,17
2021-11-02 00:00:00+00:00,424,128,40,21
2021-11-03 00:00:00+00:00,387,116,69,43
2021-11-04 00:00:00+00:00,321,102,51,31
2021-11-05 00:00:00+00:00,307,89,25,15
2021-11-06 00:00:00+00:00,252,74,24,6
2021-11-07 00:00:00+00:00,215,62,12,9
2021-11-08 00:00:00+00:00,340,109,39,24
2021-11-09 00:00:00+00:00,309,113,97,28
2021-11-10 00:00:00+00:00,318,109,67,27
2021-11-11 00:00:00+00:00,334,109,81,25
2021-11-12 00:00:00+00:00,286,90,57,19
2021-11-13 00:00:00+00:00,153,74,21,12
2021-11-14 00:00:00+00:00,164,82,37,6
2021-11-15 00:00:00+00:00,474,125,38,20
2021-11-16 00:00:00+00:00,451,124,29,18
2021-11-17 00:00:00+00:00,317,100,16,11
2021-11-18 00:00:00+00:00,358,126,19,14
2021-11-19 00:00:00+00:00,355,110,35,21
2021-11-20 00:00:00+00:00,163,77,14,8
2021-11-21 00:00:00+00:00,129,60,19,8
2021-11-22 00:00:00+00:00,365,93,23,17
2021-11-23 00:00:00+00:00,338,117,33,15
2021-11-24 00:00:00+00:00,459,168,30,12
2021-11-25 00:00:00+00:00,400,139,24,18
2021-11-26 00:00:00+00:00,294,103,37,18
2021-11-27 00:00:00+00:00,150,67,12,8
2021-11-28 00:00:00+00:00,160,70,23,9
2021-11-29 00:00:00+00:00,490,175,22,17
2021-11-30 00:00:00+00:00,424,129,42,20
2021-12-01 00:00:00+00:00,357,129,63,36
2021-12-02 00:00:00+00:00,399,126,36,20
2021-12-03 00:00:00+00:00,435,111,56,24
2021-12-04 00:00:00+00:00,212,87,18,13
2021-12-05 00:00:00+00:00,203,62,9,9
2021-12-06 00:00:00+00:00,350,117,31,25
2021-12-07 00:00:00+00:00,337,130,40,17
2021-12-08 00:00:00+00:00,378,110,54,18
2021-12-09 00:00:00+00:00,374,113,32,14
