time_iso8601,forks_cumulative
2021-09-12 00:00:00+00:00,1
2021-09-14 00:00:00+00:00,2
2021-09-15 00:00:00+00:00,4
2021-09-18 00:00:00+00:00,6
2021-09-23 00:00:00+00:00,7
2021-09-26 00:00:00+00:00,8
2021-09-29 00:00:00+00:00,9
2021-10-04 00:00:00+00:00,10
2021-10-14 00:00:00+00:00,11
2021-10-28 00:00:00+00:00,12
2021-11-03 00:00:00+00:00,17
2021-11-04 00:00:00+00:00,18
2021-11-05 00:00:00+00:00,19
2021-11-08 00:00:00+00:00,20
2021-11-09 00:00:00+00:00,21
2021-11-11 00:00:00+00:00,22
2021-11-12 00:00:00+00:00,25
2021-11-15 00:00:00+00:00,26
2021-11-30 00:00:00+00:00,27
2021-12-01 00:00:00+00:00,28
2021-12-02 00:00:00+00:00,29
2021-12-08 00:00:00+00:00,30
2021-12-09 00:00:00+00:00,31
2021-12-10 00:00:00+00:00,33
2021-12-14 00:00:00+00:00,34
2021-12-23 00:00:00+00:00,36
2021-12-28 00:00:00+00:00,37
2022-01-02 00:00:00+00:00,38
2022-01-03 00:00:00+00:00,39
2022-01-05 00:00:00+00:00,40
2022-01-11 00:00:00+00:00,41
2022-01-15 00:00:00+00:00,42
2022-01-26 00:00:00+00:00,43
2022-02-10 00:00:00+00:00,44
2022-02-11 00:00:00+00:00,45
2022-02-16 00:00:00+00:00,46
2022-02-17 00:00:00+00:00,48
2022-02-23 00:00:00+00:00,50
2022-02-24 00:00:00+00:00,52
2022-02-28 00:00:00+00:00,53
2022-03-01 00:00:00+00:00,54
2022-03-03 00:00:00+00:00,55
2022-03-14 00:00:00+00:00,56
2022-03-15 00:00:00+00:00,57
2022-03-16 00:00:00+00:00,58
2022-03-20 00:00:00+00:00,59
2022-03-29 00:00:00+00:00,60
2022-04-02 00:00:00+00:00,61
2022-04-03 00:00:00+00:00,62
2022-04-11 00:00:00+00:00,65
2022-04-24 00:00:00+00:00,66
2022-04-26 00:00:00+00:00,69
2022-04-27 00:00:00+00:00,70
2022-04-30 00:00:00+00:00,71
2022-05-02 00:00:00+00:00,72
2022-05-09 00:00:00+00:00,73
2022-05-10 00:00:00+00:00,75
2022-05-13 00:00:00+00:00,77
2022-05-15 00:00:00+00:00,78
2022-05-16 00:00:00+00:00,79
2022-05-17 00:00:00+00:00,80
2022-05-21 00:00:00+00:00,81
2022-05-24 00:00:00+00:00,82
2022-05-27 00:00:00+00:00,85
2022-06-01 00:00:00+00:00,89
2022-06-05 00:00:00+00:00,90
2022-06-07 00:00:00+00:00,91
2022-06-09 00:00:00+00:00,92
2022-06-15 00:00:00+00:00,93
2022-06-17 00:00:00+00:00,94
2022-06-21 00:00:00+00:00,95
2022-06-24 00:00:00+00:00,96
2022-06-29 00:00:00+00:00,97
2022-07-01 00:00:00+00:00,98
2022-07-03 00:00:00+00:00,99
2022-07-05 00:00:00+00:00,100
2022-07-07 00:00:00+00:00,101
2022-07-11 00:00:00+00:00,102
2022-07-13 00:00:00+00:00,104
2022-07-14 00:00:00+00:00,105
2022-07-15 00:00:00+00:00,106
2022-07-17 00:00:00+00:00,108
2022-07-18 00:00:00+00:00,109
2022-07-19 00:00:00+00:00,111
2022-07-20 00:00:00+00:00,113
2022-07-22 00:00:00+00:00,114
2022-07-25 00:00:00+00:00,115
2022-07-29 00:00:00+00:00,117
2022-08-01 00:00:00+00:00,119
2022-08-03 00:00:00+00:00,120
2022-08-19 00:00:00+00:00,121
2022-08-20 00:00:00+00:00,122
2022-08-22 00:00:00+00:00,123
2022-08-24 00:00:00+00:00,125
2022-08-26 00:00:00+00:00,126
2022-08-27 00:00:00+00:00,127
2022-08-31 00:00:00+00:00,128
2022-09-02 00:00:00+00:00,129
2022-09-05 00:00:00+00:00,131
2022-09-08 00:00:00+00:00,132
2022-09-09 00:00:00+00:00,133
2022-09-12 00:00:00+00:00,134
2022-09-14 00:00:00+00:00,136
2022-09-16 00:00:00+00:00,137
2022-09-18 00:00:00+00:00,138
2022-09-21 00:00:00+00:00,139
2022-09-23 00:00:00+00:00,140
2022-09-26 00:00:00+00:00,141
2022-09-28 00:00:00+00:00,142
2022-09-29 00:00:00+00:00,144
2022-10-02 00:00:00+00:00,145
2022-10-13 00:00:00+00:00,148
2022-10-16 00:00:00+00:00,149
2022-10-18 00:00:00+00:00,150
2022-10-22 00:00:00+00:00,151
2022-10-24 00:00:00+00:00,152
2022-10-29 00:00:00+00:00,153
2022-10-31 00:00:00+00:00,155
2022-11-01 00:00:00+00:00,156
2022-11-02 00:00:00+00:00,157
2022-11-07 00:00:00+00:00,158
2022-11-09 00:00:00+00:00,159
