time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,295,90,236,37
2021-10-27 00:00:00+00:00,315,96,318,41
2021-10-28 00:00:00+00:00,347,94,157,53
2021-10-29 00:00:00+00:00,228,84,94,64
2021-10-30 00:00:00+00:00,188,75,21,15
2021-10-31 00:00:00+00:00,199,63,43,19
2021-11-01 00:00:00+00:00,209,78,94,42
2021-11-02 00:00:00+00:00,276,99,132,58
2021-11-03 00:00:00+00:00,294,110,1199,312
2021-11-04 00:00:00+00:00,359,98,695,135
2021-11-05 00:00:00+00:00,311,94,306,110
2021-11-06 00:00:00+00:00,239,88,99,42
2021-11-07 00:00:00+00:00,214,72,85,34
2021-11-08 00:00:00+00:00,553,125,388,91
2021-11-09 00:00:00+00:00,350,117,360,92
2021-11-10 00:00:00+00:00,321,113,305,92
2021-11-11 00:00:00+00:00,289,101,198,76
2021-11-12 00:00:00+00:00,331,97,345,66
2021-11-13 00:00:00+00:00,348,96,199,36
2021-11-14 00:00:00+00:00,296,85,53,14
2021-11-15 00:00:00+00:00,313,102,292,72
2021-11-16 00:00:00+00:00,313,107,216,72
2021-11-17 00:00:00+00:00,342,100,278,92
2021-11-18 00:00:00+00:00,256,91,260,64
2021-11-19 00:00:00+00:00,315,97,238,73
2021-11-20 00:00:00+00:00,285,97,40,24
2021-11-21 00:00:00+00:00,269,94,31,20
2021-11-22 00:00:00+00:00,307,91,266,87
2021-11-23 00:00:00+00:00,306,100,322,78
