time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-24 00:00:00+00:00,80.0,10.0,86,48
2022-03-25 00:00:00+00:00,1.0,1.0,112,49
2022-03-26 00:00:00+00:00,1.0,1.0,30,14
2022-03-27 00:00:00+00:00,209.0,89.0,29,23
2022-03-28 00:00:00+00:00,301.0,106.0,127,59
2022-03-29 00:00:00+00:00,305.0,108.0,112,56
2022-03-30 00:00:00+00:00,246.0,89.0,63,32
2022-03-31 00:00:00+00:00,141.0,69.0,80,33
2022-04-01 00:00:00+00:00,123.0,58.0,75,40
2022-04-02 00:00:00+00:00,34.0,26.0,33,14
2022-04-03 00:00:00+00:00,2.0,2.0,14,11
2022-04-04 00:00:00+00:00,,,34,23
2022-04-05 00:00:00+00:00,2.0,2.0,59,34
2022-04-06 00:00:00+00:00,2.0,2.0,86,46
