time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-06 00:00:00+00:00,7926,691,2786,994
2021-12-07 00:00:00+00:00,6757,698,2675,913
2021-12-08 00:00:00+00:00,8063,688,2820,940
2021-12-09 00:00:00+00:00,7280,820,2578,911
2021-12-10 00:00:00+00:00,6475,776,2294,826
2021-12-11 00:00:00+00:00,2759,297,1755,523
2021-12-12 00:00:00+00:00,2907,260,1242,421
2021-12-13 00:00:00+00:00,8307,847,2508,881
2021-12-14 00:00:00+00:00,7042,894,2680,999
2021-12-15 00:00:00+00:00,7424,967,2852,956
2021-12-16 00:00:00+00:00,7409,858,2828,962
2021-12-17 00:00:00+00:00,6595,639,2182,802
2021-12-18 00:00:00+00:00,2490,291,1227,398
2021-12-19 00:00:00+00:00,2527,240,869,351
