time_iso8601,forks_cumulative
2020-06-28 00:00:00+00:00,1
2020-08-16 00:00:00+00:00,2
2020-10-19 00:00:00+00:00,3
2020-10-22 00:00:00+00:00,5
2020-10-23 00:00:00+00:00,6
2020-11-13 00:00:00+00:00,7
2020-11-15 00:00:00+00:00,8
2020-11-22 00:00:00+00:00,9
2020-11-28 00:00:00+00:00,10
2021-04-21 00:00:00+00:00,11
2021-05-05 00:00:00+00:00,12
2021-05-14 00:00:00+00:00,13
2021-07-22 00:00:00+00:00,14
2021-08-03 00:00:00+00:00,15
2021-08-04 00:00:00+00:00,16
2021-08-05 00:00:00+00:00,17
2021-08-27 00:00:00+00:00,18
2021-09-09 00:00:00+00:00,19
2021-09-17 00:00:00+00:00,20
2021-10-21 00:00:00+00:00,21
2021-10-25 00:00:00+00:00,22
2021-11-09 00:00:00+00:00,23
2021-11-11 00:00:00+00:00,24
2021-11-15 00:00:00+00:00,25
2021-12-22 00:00:00+00:00,26
2022-01-06 00:00:00+00:00,27
2022-01-13 00:00:00+00:00,28
2022-02-08 00:00:00+00:00,29
2022-02-22 00:00:00+00:00,30
2022-02-24 00:00:00+00:00,31
2022-02-25 00:00:00+00:00,32
2022-03-01 00:00:00+00:00,35
2022-03-17 00:00:00+00:00,36
2022-04-08 00:00:00+00:00,37
2022-04-14 00:00:00+00:00,38
2022-04-22 00:00:00+00:00,39
2022-05-11 00:00:00+00:00,40
2022-05-21 00:00:00+00:00,41
2022-06-02 00:00:00+00:00,42
2022-06-21 00:00:00+00:00,43
2022-06-22 00:00:00+00:00,45
2022-07-18 00:00:00+00:00,46
2022-08-02 00:00:00+00:00,47
2022-08-08 00:00:00+00:00,48
2022-08-19 00:00:00+00:00,49
2022-08-23 00:00:00+00:00,50
