time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,8,3,56,10
2021-10-27 00:00:00+00:00,3,2,84,29
2021-10-28 00:00:00+00:00,7,4,99,25
2021-10-29 00:00:00+00:00,7,5,44,23
2021-10-30 00:00:00+00:00,1,1,5,4
2021-10-31 00:00:00+00:00,2,2,43,10
2021-11-01 00:00:00+00:00,65,39,46,25
2021-11-02 00:00:00+00:00,120,61,49,28
2021-11-03 00:00:00+00:00,80,45,125,56
2021-11-04 00:00:00+00:00,21,15,104,34
2021-11-05 00:00:00+00:00,8,3,42,19
2021-11-06 00:00:00+00:00,0,0,13,8
2021-11-07 00:00:00+00:00,2,2,20,10
2021-11-08 00:00:00+00:00,7,4,86,30
2021-11-09 00:00:00+00:00,5,3,64,32
2021-11-10 00:00:00+00:00,5,3,46,21
2021-11-11 00:00:00+00:00,5,4,35,21
2021-11-12 00:00:00+00:00,4,2,43,15
2021-11-13 00:00:00+00:00,2,2,11,3
2021-11-14 00:00:00+00:00,1,1,42,11
2021-11-15 00:00:00+00:00,4,3,56,27
2021-11-16 00:00:00+00:00,4,3,95,37
2021-11-17 00:00:00+00:00,3,2,32,19
2021-11-18 00:00:00+00:00,2,1,49,21
2021-11-19 00:00:00+00:00,3,2,36,22
2021-11-20 00:00:00+00:00,0,0,17,7
2021-11-21 00:00:00+00:00,1,1,26,13
2021-11-22 00:00:00+00:00,5,3,49,22
2021-11-23 00:00:00+00:00,8,5,71,21
2021-11-24 00:00:00+00:00,5,3,41,27
2021-11-25 00:00:00+00:00,7,2,43,23
2021-11-26 00:00:00+00:00,3,2,16,9
2021-11-27 00:00:00+00:00,1,1,56,15
2021-11-28 00:00:00+00:00,2,1,19,12
2021-11-29 00:00:00+00:00,42,28,140,27
2021-11-30 00:00:00+00:00,64,38,59,29
2021-12-01 00:00:00+00:00,62,32,67,25
2021-12-02 00:00:00+00:00,32,19,77,19
2021-12-03 00:00:00+00:00,6,4,37,18
2021-12-04 00:00:00+00:00,2,1,21,10
2021-12-05 00:00:00+00:00,1,1,17,8
2021-12-06 00:00:00+00:00,6,2,47,20
2021-12-07 00:00:00+00:00,5,3,32,17
2021-12-08 00:00:00+00:00,2,1,41,24
2021-12-09 00:00:00+00:00,3,2,73,25
2021-12-10 00:00:00+00:00,13,4,91,17
2021-12-11 00:00:00+00:00,2,1,11,8
2021-12-12 00:00:00+00:00,1,1,8,6
2021-12-13 00:00:00+00:00,8,4,40,18
2021-12-14 00:00:00+00:00,59,39,69,22
2021-12-15 00:00:00+00:00,65,44,40,20
2021-12-16 00:00:00+00:00,26,21,84,18
2021-12-17 00:00:00+00:00,18,4,113,31
2021-12-18 00:00:00+00:00,2,1,18,11
2021-12-19 00:00:00+00:00,1,1,19,8
2021-12-20 00:00:00+00:00,3,2,54,32
2021-12-21 00:00:00+00:00,7,3,94,28
2021-12-22 00:00:00+00:00,4,2,34,17
2021-12-23 00:00:00+00:00,3,2,44,18
2021-12-24 00:00:00+00:00,5,3,32,16
2021-12-25 00:00:00+00:00,1,1,15,10
2021-12-26 00:00:00+00:00,0,0,22,11
2021-12-27 00:00:00+00:00,2,1,65,22
2021-12-28 00:00:00+00:00,5,3,47,18
2021-12-29 00:00:00+00:00,3,2,56,31
2021-12-30 00:00:00+00:00,6,4,54,19
2021-12-31 00:00:00+00:00,5,3,35,11
2022-01-01 00:00:00+00:00,1,1,8,4
2022-01-02 00:00:00+00:00,2,2,9,6
2022-01-03 00:00:00+00:00,6,4,67,19
2022-01-04 00:00:00+00:00,3,2,27,14
2022-01-05 00:00:00+00:00,8,4,58,21
2022-01-06 00:00:00+00:00,5,3,61,24
