time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,2965,312,291,53
2021-10-27 00:00:00+00:00,3354,491,225,55
2021-10-28 00:00:00+00:00,3121,752,159,40
2021-10-29 00:00:00+00:00,2596,603,156,42
2021-10-30 00:00:00+00:00,1062,175,58,29
2021-10-31 00:00:00+00:00,1043,159,42,32
2021-11-01 00:00:00+00:00,3229,412,153,51
2021-11-02 00:00:00+00:00,3248,561,136,47
2021-11-03 00:00:00+00:00,2566,404,149,43
2021-11-04 00:00:00+00:00,2852,487,133,34
2021-11-05 00:00:00+00:00,2506,405,60,34
2021-11-06 00:00:00+00:00,1087,177,38,21
2021-11-07 00:00:00+00:00,924,146,25,14
2021-11-08 00:00:00+00:00,3338,635,86,41
2021-11-09 00:00:00+00:00,3048,586,109,39
2021-11-10 00:00:00+00:00,2700,556,84,37
2021-11-11 00:00:00+00:00,2215,389,145,45
2021-11-12 00:00:00+00:00,2538,486,153,55
2021-11-13 00:00:00+00:00,1060,197,30,24
2021-11-14 00:00:00+00:00,1237,179,28,19
2021-11-15 00:00:00+00:00,3811,508,118,44
2021-11-16 00:00:00+00:00,3143,365,92,47
2021-11-17 00:00:00+00:00,2885,624,86,38
2021-11-18 00:00:00+00:00,2664,530,128,41
2021-11-19 00:00:00+00:00,2339,370,104,40
2021-11-20 00:00:00+00:00,1081,163,20,14
2021-11-21 00:00:00+00:00,1325,160,38,18
2021-11-22 00:00:00+00:00,3302,428,84,39
2021-11-23 00:00:00+00:00,2909,409,80,42
2021-11-24 00:00:00+00:00,2966,510,133,54
2021-11-25 00:00:00+00:00,2732,420,66,37
2021-11-26 00:00:00+00:00,2471,332,65,26
2021-11-27 00:00:00+00:00,1000,147,40,13
2021-11-28 00:00:00+00:00,1084,136,16,12
2021-11-29 00:00:00+00:00,3609,450,94,48
2021-11-30 00:00:00+00:00,3282,419,224,50
2021-12-01 00:00:00+00:00,3146,508,113,46
2021-12-02 00:00:00+00:00,3071,569,89,48
2021-12-03 00:00:00+00:00,2935,505,82,32
2021-12-04 00:00:00+00:00,1295,214,36,14
2021-12-05 00:00:00+00:00,1198,150,21,16
2021-12-06 00:00:00+00:00,3499,382,97,51
2021-12-07 00:00:00+00:00,2891,387,166,53
2021-12-08 00:00:00+00:00,3312,436,115,51
2021-12-09 00:00:00+00:00,3036,530,68,40
2021-12-10 00:00:00+00:00,2801,488,92,40
2021-12-11 00:00:00+00:00,977,150,51,21
2021-12-12 00:00:00+00:00,1027,135,26,16
2021-12-13 00:00:00+00:00,3879,554,87,42
2021-12-14 00:00:00+00:00,3148,577,102,35
2021-12-15 00:00:00+00:00,3214,643,87,38
2021-12-16 00:00:00+00:00,3142,583,72,48
2021-12-17 00:00:00+00:00,2772,394,70,38
2021-12-18 00:00:00+00:00,899,152,28,19
2021-12-19 00:00:00+00:00,1015,141,25,22
2021-12-20 00:00:00+00:00,3539,329,106,43
2021-12-21 00:00:00+00:00,2851,355,61,36
2021-12-22 00:00:00+00:00,2954,463,109,32
2021-12-23 00:00:00+00:00,2982,334,46,29
2021-12-24 00:00:00+00:00,2288,236,34,20
2021-12-25 00:00:00+00:00,1079,160,24,13
2021-12-26 00:00:00+00:00,1188,178,16,10
2021-12-27 00:00:00+00:00,3304,301,56,31
2021-12-28 00:00:00+00:00,2812,388,64,35
2021-12-29 00:00:00+00:00,2718,392,76,31
2021-12-30 00:00:00+00:00,2725,415,53,31
2021-12-31 00:00:00+00:00,2207,194,39,14
2022-01-01 00:00:00+00:00,1160,146,13,9
2022-01-02 00:00:00+00:00,1146,142,36,16
2022-01-03 00:00:00+00:00,3428,388,68,27
2022-01-04 00:00:00+00:00,3213,579,116,46
2022-01-05 00:00:00+00:00,3366,602,56,37
2022-01-06 00:00:00+00:00,3044,419,72,36
2022-01-07 00:00:00+00:00,3236,415,60,34
2022-01-08 00:00:00+00:00,1125,169,14,11
2022-01-09 00:00:00+00:00,1184,165,56,23
2022-01-10 00:00:00+00:00,2790,404,50,36
2022-01-11 00:00:00+00:00,1852,602,65,36
2022-01-12 00:00:00+00:00,1965,485,51,31
2022-01-13 00:00:00+00:00,1844,548,120,43
2022-01-14 00:00:00+00:00,1644,420,106,44
2022-01-15 00:00:00+00:00,1164,178,34,17
2022-01-16 00:00:00+00:00,1178,182,31,16
2022-01-17 00:00:00+00:00,1785,447,117,34
2022-01-18 00:00:00+00:00,1720,397,95,37
2022-01-19 00:00:00+00:00,1840,495,69,39
2022-01-20 00:00:00+00:00,1741,515,63,24
2022-01-21 00:00:00+00:00,1831,399,54,28
2022-01-22 00:00:00+00:00,1054,144,20,11
2022-01-23 00:00:00+00:00,1078,157,33,21
2022-01-24 00:00:00+00:00,1856,597,56,35
2022-01-25 00:00:00+00:00,1961,518,112,31
2022-01-26 00:00:00+00:00,1792,433,57,32
2022-01-27 00:00:00+00:00,1709,359,65,43
2022-01-28 00:00:00+00:00,1655,466,49,22
2022-01-29 00:00:00+00:00,1063,146,46,18
2022-01-30 00:00:00+00:00,1148,151,29,16
2022-01-31 00:00:00+00:00,1657,501,100,36
2022-02-01 00:00:00+00:00,2082,630,46,27
2022-02-02 00:00:00+00:00,1773,435,61,34
