time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-27 00:00:00+00:00,702,189,62,29
2022-06-28 00:00:00+00:00,741,228,111,31
2022-06-29 00:00:00+00:00,860,228,75,29
2022-06-30 00:00:00+00:00,834,216,74,17
2022-07-01 00:00:00+00:00,757,214,61,20
2022-07-02 00:00:00+00:00,408,132,9,6
2022-07-03 00:00:00+00:00,339,120,65,11
2022-07-04 00:00:00+00:00,606,202,101,29
2022-07-05 00:00:00+00:00,836,242,62,32
2022-07-06 00:00:00+00:00,838,219,65,22
2022-07-07 00:00:00+00:00,808,240,117,30
2022-07-08 00:00:00+00:00,762,260,76,22
2022-07-09 00:00:00+00:00,567,122,38,16
2022-07-10 00:00:00+00:00,508,110,17,9
