time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-26 00:00:00+00:00,1280,163,102,18
2021-10-27 00:00:00+00:00,1661,266,151,25
2021-10-28 00:00:00+00:00,1493,361,145,28
2021-10-29 00:00:00+00:00,1473,221,39,18
2021-10-30 00:00:00+00:00,655,162,15,9
2021-10-31 00:00:00+00:00,647,170,51,20
2021-11-01 00:00:00+00:00,1542,350,48,19
2021-11-02 00:00:00+00:00,1434,286,68,19
2021-11-03 00:00:00+00:00,1282,291,47,22
2021-11-04 00:00:00+00:00,1538,336,38,21
2021-11-05 00:00:00+00:00,1218,312,58,24
2021-11-06 00:00:00+00:00,677,206,16,9
2021-11-07 00:00:00+00:00,600,131,24,10
2021-11-08 00:00:00+00:00,1357,306,48,19
2021-11-09 00:00:00+00:00,1481,372,29,12
2021-11-10 00:00:00+00:00,1277,284,53,16
2021-11-11 00:00:00+00:00,1188,336,36,20
2021-11-12 00:00:00+00:00,1385,344,58,24
2021-11-13 00:00:00+00:00,698,182,13,9
2021-11-14 00:00:00+00:00,789,159,19,8
2021-11-15 00:00:00+00:00,1948,326,25,16
2021-11-16 00:00:00+00:00,1690,325,67,24
2021-11-17 00:00:00+00:00,1356,279,32,15
2021-11-18 00:00:00+00:00,1310,262,43,23
2021-11-19 00:00:00+00:00,1257,253,36,25
2021-11-20 00:00:00+00:00,814,170,15,8
2021-11-21 00:00:00+00:00,793,167,13,8
2021-11-22 00:00:00+00:00,1718,404,36,20
2021-11-23 00:00:00+00:00,1711,358,57,20
2021-11-24 00:00:00+00:00,1539,236,30,17
2021-11-25 00:00:00+00:00,1343,229,28,20
2021-11-26 00:00:00+00:00,1199,228,26,17
2021-11-27 00:00:00+00:00,773,180,32,11
2021-11-28 00:00:00+00:00,806,163,29,11
2021-11-29 00:00:00+00:00,1765,262,39,20
2021-11-30 00:00:00+00:00,1761,278,73,22
2021-12-01 00:00:00+00:00,1686,369,72,22
2021-12-02 00:00:00+00:00,1639,296,60,30
2021-12-03 00:00:00+00:00,1489,308,52,17
2021-12-04 00:00:00+00:00,774,165,18,8
2021-12-05 00:00:00+00:00,733,126,68,10
2021-12-06 00:00:00+00:00,1629,280,22,10
2021-12-07 00:00:00+00:00,1404,304,26,16
2021-12-08 00:00:00+00:00,1792,283,27,16
2021-12-09 00:00:00+00:00,1568,262,54,21
2021-12-10 00:00:00+00:00,1346,255,78,17
2021-12-11 00:00:00+00:00,696,158,171,39
2021-12-12 00:00:00+00:00,726,138,18,8
2021-12-13 00:00:00+00:00,1703,265,42,16
2021-12-14 00:00:00+00:00,1350,305,59,27
2021-12-15 00:00:00+00:00,1481,324,71,26
2021-12-16 00:00:00+00:00,1542,273,60,23
2021-12-17 00:00:00+00:00,1380,217,20,14
2021-12-18 00:00:00+00:00,702,170,16,12
2021-12-19 00:00:00+00:00,680,120,7,5
2021-12-20 00:00:00+00:00,1744,268,35,17
2021-12-21 00:00:00+00:00,1543,312,41,20
2021-12-22 00:00:00+00:00,1437,281,60,25
2021-12-23 00:00:00+00:00,1520,257,43,20
2021-12-24 00:00:00+00:00,1154,186,27,18
2021-12-25 00:00:00+00:00,673,129,11,7
2021-12-26 00:00:00+00:00,724,131,3,3
2021-12-27 00:00:00+00:00,1634,274,43,17
2021-12-28 00:00:00+00:00,1461,238,51,25
2021-12-29 00:00:00+00:00,1453,254,15,12
2021-12-30 00:00:00+00:00,1349,221,51,24
2021-12-31 00:00:00+00:00,1268,273,58,14
2022-01-01 00:00:00+00:00,886,234,26,8
2022-01-02 00:00:00+00:00,857,222,27,16
2022-01-03 00:00:00+00:00,1813,292,29,14
2022-01-04 00:00:00+00:00,1597,310,60,18
2022-01-05 00:00:00+00:00,1793,276,55,26
2022-01-06 00:00:00+00:00,1557,241,65,20
2022-01-07 00:00:00+00:00,1416,254,18,9
2022-01-08 00:00:00+00:00,775,179,14,11
2022-01-09 00:00:00+00:00,760,164,7,5
2022-01-10 00:00:00+00:00,1404,274,29,13
2022-01-11 00:00:00+00:00,966,311,43,18
2022-01-12 00:00:00+00:00,925,276,48,19
2022-01-13 00:00:00+00:00,1014,309,54,17
2022-01-14 00:00:00+00:00,807,201,30,19
2022-01-15 00:00:00+00:00,672,139,34,15
2022-01-16 00:00:00+00:00,701,169,24,14
2022-01-17 00:00:00+00:00,941,319,23,15
2022-01-18 00:00:00+00:00,827,250,54,21
2022-01-19 00:00:00+00:00,1013,322,21,15
2022-01-20 00:00:00+00:00,955,302,32,12
2022-01-21 00:00:00+00:00,954,256,12,10
2022-01-22 00:00:00+00:00,783,152,15,5
2022-01-23 00:00:00+00:00,750,143,25,8
2022-01-24 00:00:00+00:00,1068,370,10,9
2022-01-25 00:00:00+00:00,998,264,18,13
2022-01-26 00:00:00+00:00,924,241,20,12
2022-01-27 00:00:00+00:00,916,228,23,12
2022-01-28 00:00:00+00:00,934,232,21,11
2022-01-29 00:00:00+00:00,801,172,11,7
2022-01-30 00:00:00+00:00,709,135,24,10
