time_iso8601,forks_cumulative
2020-09-08 00:00:00+00:00,1
2020-10-05 00:00:00+00:00,2
2020-10-21 00:00:00+00:00,3
2020-11-22 00:00:00+00:00,4
2021-01-24 00:00:00+00:00,5
2021-01-25 00:00:00+00:00,6
2021-03-10 00:00:00+00:00,7
2021-03-18 00:00:00+00:00,8
2021-08-20 00:00:00+00:00,9
2021-09-03 00:00:00+00:00,10
2021-09-18 00:00:00+00:00,11
2021-10-04 00:00:00+00:00,12
2021-11-11 00:00:00+00:00,13
2022-01-18 00:00:00+00:00,14
2022-07-14 00:00:00+00:00,16
2022-08-02 00:00:00+00:00,17
2022-09-14 00:00:00+00:00,18
2022-09-21 00:00:00+00:00,19
2022-10-03 00:00:00+00:00,20
2022-10-09 00:00:00+00:00,21
2022-11-19 00:00:00+00:00,22
2023-01-10 00:00:00+00:00,23
2023-01-20 00:00:00+00:00,24
2023-01-28 00:00:00+00:00,25
2023-02-13 00:00:00+00:00,26
2023-02-16 00:00:00+00:00,27
2023-02-20 00:00:00+00:00,28
2023-03-22 00:00:00+00:00,29
