time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-02-20 00:00:00+00:00,367,129,59,8
2022-02-21 00:00:00+00:00,488,145,65,15
2022-02-22 00:00:00+00:00,408,149,33,16
2022-02-23 00:00:00+00:00,476,144,94,18
2022-02-24 00:00:00+00:00,471,147,68,21
2022-02-25 00:00:00+00:00,437,163,45,16
2022-02-26 00:00:00+00:00,367,114,23,7
2022-02-27 00:00:00+00:00,362,116,4,2
2022-02-28 00:00:00+00:00,431,145,41,13
2022-03-01 00:00:00+00:00,360,103,37,16
2022-03-02 00:00:00+00:00,470,159,39,17
2022-03-03 00:00:00+00:00,457,133,24,13
2022-03-04 00:00:00+00:00,344,105,14,7
2022-03-05 00:00:00+00:00,241,81,8,3
