time_iso8601,stars_cumulative
2020-06-02 00:00:00+00:00,2
2020-06-03 00:00:00+00:00,3
2020-06-07 00:00:00+00:00,4
2020-07-30 00:00:00+00:00,5
2020-08-17 00:00:00+00:00,6
2020-11-07 00:00:00+00:00,7
2020-11-30 00:00:00+00:00,8
2021-01-24 00:00:00+00:00,9
2021-02-02 00:00:00+00:00,10
2021-02-26 00:00:00+00:00,11
2021-03-17 00:00:00+00:00,12
2021-03-18 00:00:00+00:00,14
2021-03-19 00:00:00+00:00,15
2021-05-14 00:00:00+00:00,16
2021-05-21 00:00:00+00:00,17
2021-07-12 00:00:00+00:00,18
2021-08-05 00:00:00+00:00,19
2021-08-11 00:00:00+00:00,20
2021-08-19 00:00:00+00:00,21
2021-08-23 00:00:00+00:00,22
2021-09-08 00:00:00+00:00,23
2021-10-01 00:00:00+00:00,24
2021-10-13 00:00:00+00:00,26
2021-10-15 00:00:00+00:00,27
2021-11-11 00:00:00+00:00,28
2022-02-15 00:00:00+00:00,29
2022-03-31 00:00:00+00:00,30
2022-05-25 00:00:00+00:00,31
2022-05-31 00:00:00+00:00,32
2022-07-23 00:00:00+00:00,33
2022-08-02 00:00:00+00:00,34
